"prey","Base","Vec","Rab5GDP","Rab5GTP","Enr_GDP","Enr_GTP","sEnr_GDP","sEnr_GTP","p_GDP_Vec","p_GTP_Vec","p_GTP_GDP","p_GDP_GTP","p_GDP","p_GTP","Base_diUb","Vec_diUb","diUb1","Enr_diUb","sEnr_diUb","p_Bind_diUb","Base_diUb4","Vec_diUb4","di4spUb","Enr_diUb4","sEnr_diUb4","p_Bind_diUb4"
"Eif2s3y",153.2,0,0.3,0.2,3,2,-1.81,-3.46,0.039,0,0.129,0.871,0.034,0,0,0,0,0,0,0,147.5,0,0.1,1.04,-4.22,0.059
"Eif3a",1490.8,27700.7,674947,300299.2,4.61,3.44,-1.28,-2.71,0.103,0.005,0.145,0.855,0.088,0.001,1184.1,27700.7,94697.4,1.77,-0.17,0.473,1412.3,27700.7,93088.6,1.75,-0.34,0.447
"Eif3c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0.1,1,-3.51,0.093,0,0,0,0,0,0
"Eif3e",554.5,1.4,1,0.3,-0.37,-2.01,-1.92,-3.58,0.023,0,0.131,0.869,0.02,0,522.8,1.4,0.2,-2.82,-4.56,0.016,535.6,1.4,0.1,-3.78,-5.81,0.006
"Eif3f",87.8,19.9,0.1,3339.4,-6.72,7.39,-2.23,4.55,0.021,0.946,0.985,0.015,0,0.931,88.5,19.9,0,-8.64,-6.92,0.01,94.5,19.9,0,-8.64,-7.52,0.004
"Eif3g",10,0.1,0,0,-1.88,-1.88,-2.08,-3.73,0.023,0,0.159,0.841,0.02,0,8.5,0.1,0,-1.88,-5.96,0.017,9.4,0.1,0,-1.88,-6.55,0.01
"Eif3h",160.9,0,0.2,0.3,2.38,2.81,-1.95,-3.28,0.033,0.001,0.202,0.798,0.026,0,156.1,0,0.1,1,-3.83,0.069,157.4,0,0.1,1.04,-4.19,0.063
"Eif3j1",172,121.8,0.1,378.7,-9.99,1.64,-2.21,-2.4,0.017,0.029,0.494,0.506,0.009,0.014,162.6,121.8,0,-11.25,-7.15,0.007,159,121.8,0.1,-10.21,-7.25,0.003
"Eif3j2",172,121.5,0,378.5,-11.25,1.64,-2.22,-2.43,0.018,0.023,0.482,0.518,0.009,0.011,162.6,121.5,0,-11.25,-7.22,0.009,159,121.5,0.1,-10.21,-7.29,0.003
"Eif3l",3.7,4.2,0,0,-6.4,-6.4,-2.22,-3.84,0.017,0,0.162,0.838,0.014,0,3.6,4.2,0,-6.4,-6.64,0.006,3.5,4.2,0,-6.4,-7.14,0.004
"Eif3m",351,0.5,0.2,0.5,-0.98,0.17,-2.1,-3.22,0.021,0.001,0.235,0.765,0.016,0,333.4,0.5,0,-3.35,-6.35,0.009,339.9,0.5,0.1,-2.31,-5.29,0.008
"Eif4a1",14,31.3,0,0,-9.29,-9.29,-2.25,-3.87,0.018,0,0.163,0.837,0.015,0,8.4,31.3,0,-9.29,-6.9,0.008,7.9,31.3,0,-9.29,-7.55,0.004
"Eif4a2",459.6,510.8,0.6,0.3,-9.56,-10.51,-2.24,-3.86,0.018,0,0.155,0.845,0.015,0,443.6,510.8,0.3,-10.73,-6.68,0.005,455.4,510.8,0.1,-12.28,-7.57,0.005
"Eif4b",433.6,141.3,0.3,1.2,-8.74,-6.82,-2.2,-3.78,0.021,0,0.162,0.838,0.018,0,450.5,141.3,0.1,-10.46,-6.83,0.005,459.2,141.3,0,-11.46,-7.86,0.005
"Eif4e",274.4,0.9,0.6,0.2,-0.42,-1.72,-1.91,-3.54,0.027,0,0.123,0.877,0.024,0,273.6,0.9,0.1,-3.18,-5.12,0.012,268.7,0.9,0.1,-3.14,-5.52,0.007
"Eif4e2",154.1,0,0.1,0,1.92,0,-1.65,-3.71,0.055,0,0.094,0.906,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eif4e3",58.6,0.1,0.1,0.1,-0.45,-0.39,-1.96,-3.45,0.026,0,0.158,0.842,0.022,0,57.6,0.1,0,-1.72,-6.17,0.012,53.8,0.1,0,-1.72,-6.58,0.008
"Eif4ebp3",27.4,2.1,0.1,0,-4.15,-5.42,-2.11,-3.8,0.024,0,0.136,0.864,0.021,0,28.6,2.1,0,-5.42,-6.57,0.008,26.8,2.1,0,-5.42,-7.12,0.005
"Eif4enif1",25.3,4.2,0.1,0,-5.14,-6.4,-2.12,-3.83,0.023,0,0.133,0.867,0.02,0,29.6,4.2,0,-6.4,-6.55,0.008,31.4,4.2,0,-6.4,-7.19,0.005
"Eif4g2",873.8,283.5,1.6,2.5,-7.42,-6.81,-2.17,-3.77,0.017,0,0.149,0.851,0.015,0,842.8,283.5,0.1,-10.88,-6.77,0.006,848.4,283.5,0.2,-10.08,-7.15,0.003
"Eif4g3",124.5,29.4,0,0,-9.2,-9.2,-2.21,-3.86,0.02,0,0.153,0.847,0.017,0,123.6,29.4,0,-9.2,-7.01,0.007,123.6,29.4,0.2,-7.14,-6.34,0.002
"Eif4h",37.1,0,0.1,0,1.92,0,-1.59,-3.77,0.071,0,0.076,0.924,0.065,0,34.2,0,0.1,1,-3.41,0.105,0,0,0,0,0,0
"Eif5",611.2,336.7,1.6,0.8,-7.67,-8.71,-2.15,-3.85,0.023,0,0.146,0.854,0.02,0,591,336.7,0.1,-11.72,-6.87,0.006,614.3,336.7,0.3,-10.07,-7.13,0.002
"Eif5a2",71.7,0.6,0,0.1,-3.76,-2.44,-2.16,-3.57,0.024,0,0.182,0.818,0.019,0,61.2,0.6,0.6,-0.06,-2.49,0.136,62.6,0.6,0,-3.76,-6.99,0.004
"Eif5b",253.7,24.1,4.7,4.3,-2.35,-2.48,-2,-3.43,0.026,0,0.165,0.835,0.022,0,283.1,24.1,116757.3,12.24,10.76,1,253.5,24.1,26765.7,10.11,8.33,0.998
"Eif6",15.3,0.1,0,0.2,-1.23,0.77,-2.19,-3.09,0.018,0.002,0.296,0.704,0.013,0.001,15.2,0.1,0,-1.23,-5.92,0.012,17.9,0.1,0,-1.23,-6.54,0.009
"Elac1",30.9,0,0.1,0,1.92,0,-1.64,-3.73,0.063,0,0.094,0.906,0.057,0,0,0,0,0,0,0,25.3,0,0.1,1.04,-3.68,0.099
"Elac2",2.6,1,0.1,0,-3.09,-4.35,-1.97,-3.8,0.029,0,0.129,0.871,0.025,0,4.1,1,0,-4.35,-6.33,0.01,3.3,1,0,-4.35,-6.76,0.006
"Elavl1",125.3,0.3,0,0,-2.79,-2.79,-2.15,-3.78,0.021,0,0.153,0.847,0.018,0,110.7,0.3,0.1,-1.79,-4.63,0.023,112.6,0.3,0,-2.79,-6.9,0.005
"Elavl2",40.9,8.1,0,0,-7.34,-7.34,-2.24,-3.89,0.023,0,0.156,0.844,0.019,0,38.6,8.1,0,-7.34,-6.85,0.006,43.7,8.1,0,-7.34,-7.42,0.005
"Elavl4",26.5,0.1,0,0,-1.72,-1.72,-2.13,-3.76,0.021,0,0.151,0.849,0.017,0,19.9,0.1,0,-1.72,-6.12,0.012,19.5,0.1,0,-1.72,-6.68,0.006
"Elf2",54.2,0,0.2,0,2.38,0,-1.58,-3.77,0.067,0,0.078,0.922,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elk1",5.7,0.1,0,0,-1.23,-1.23,-2.07,-3.73,0.022,0,0.164,0.836,0.018,0,7.3,0.1,0,-1.23,-6.01,0.013,6.5,0.1,0,-1.23,-6.63,0.008
"Elk4",10,0.1,0,0,-1.23,-1.23,-2.09,-3.72,0.02,0,0.148,0.852,0.017,0,13.4,0.1,0,-1.23,-5.86,0.016,13.8,0.1,0,-1.23,-6.54,0.008
"Ell",2.1,0,0,1.4,0,4.89,-2.24,-2.4,0.017,0.045,0.498,0.502,0.009,0.023,0,0,0,0,0,0,0,0,0,0,0,0
"Ell2",120.8,0.1,0.2,0.1,1.15,0.09,-1.81,-3.53,0.032,0,0.115,0.885,0.028,0,99.7,0.1,0,-1.23,-6.09,0.012,98.7,0.1,0,-1.23,-6.6,0.011
"Ell3",7.3,0,0.1,0,1.26,0,-1.71,-3.69,0.059,0,0.102,0.898,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elmo1",82.2,0,0.1,0,1.26,0,-1.78,-3.73,0.042,0,0.103,0.897,0.038,0,76.8,0,0.1,1,-3.73,0.073,0,0,0,0,0,0
"Elmod1",41.3,0.1,0,0.2,-1.23,0.77,-2.17,-3.1,0.019,0.002,0.284,0.716,0.014,0.001,45.3,0.1,0,-1.23,-5.99,0.011,48.5,0.1,0,-1.23,-6.59,0.009
"Elmod2",53.2,30.3,0,0,-9.24,-9.24,-2.24,-3.89,0.021,0,0.16,0.84,0.018,0,47.4,30.3,0,-9.24,-6.98,0.01,46.8,30.3,0,-9.24,-7.57,0.004
"Elovl1",26.5,0,0.1,0,1.92,0,-1.65,-3.74,0.062,0,0.085,0.915,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elovl2",163.9,1.9,0.3,0.1,-2.6,-4,-2.04,-3.72,0.022,0,0.131,0.869,0.019,0,147.8,1.9,0.1,-4.32,-5.37,0.011,155.2,1.9,0.1,-4.28,-5.77,0.006
"Elovl3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0.2,2.39,-1.89,0.284
"Elovl4",43.8,0.1,0.1,0,0.69,-1.23,-1.72,-3.76,0.041,0,0.08,0.92,0.038,0,42.5,0.1,0,-1.23,-6.02,0.013,39.5,0.1,0,-1.23,-6.63,0.009
"Elovl5",359.9,190.7,1.1,1.4,-7.35,-7.01,-2.22,-3.76,0.018,0,0.167,0.833,0.015,0,358.9,190.7,0.1,-10.31,-6.68,0.005,365.8,190.7,0.3,-9.25,-6.86,0.002
"Elovl6",68,0,0.2,0,2.38,0,-1.55,-3.77,0.073,0,0.081,0.919,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elovl7",75.3,0.2,0,0,-2.48,-2.48,-2.15,-3.75,0.02,0,0.153,0.847,0.017,0,80.7,0.2,0,-2.48,-6.19,0.012,86.9,0.2,0,-2.48,-6.76,0.009
"Elp2",110.1,0,0.1,0.2,1.26,2.46,-2.04,-3.14,0.021,0.002,0.239,0.761,0.016,0.001,108.4,0,0.1,1,-3.63,0.086,0,0,0,0,0,0
"Elp3",130.2,0.1,0.2,0.2,0.66,0.29,-1.89,-3.41,0.035,0,0.157,0.843,0.029,0,141.1,0.1,0.1,-0.13,-3.74,0.052,135.5,0.1,0.1,-0.68,-4.71,0.027
"Elp4",38.3,0,0.1,0,1.92,0,-1.58,-3.79,0.077,0,0.077,0.923,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elp5",326.5,5.6,0.3,0.6,-3.82,-3.11,-2.11,-3.52,0.016,0,0.175,0.825,0.014,0,351.7,5.6,0.2,-4.49,-5.03,0.009,366.7,5.6,0.1,-5.78,-6.28,0.003
"Eltd1",117,1.9,0.1,0,-4.01,-5.27,-2.1,-3.8,0.021,0,0.14,0.86,0.018,0,112.9,1.9,0.1,-4.27,-5.35,0.01,104.4,1.9,0,-5.27,-7.06,0.005
"Emb",263.1,58.6,0.3,0.1,-7.47,-8.87,-2.18,-3.83,0.02,0,0.15,0.85,0.017,0,250,58.6,0,-10.19,-7.01,0.008,245.4,58.6,0,-10.19,-7.73,0.003
"Emc1",43.9,0,0,0.1,0,1.32,-2.12,-3.29,0.019,0.001,0.242,0.758,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0
"Emc2",837.2,1,2.2,2.4,1.07,1.22,-1.87,-3.13,0.03,0.001,0.192,0.808,0.024,0,807.2,1,0.1,-2.81,-4.79,0.016,833.8,1,0.2,-2.01,-4.6,0.021
"Emc3",222.5,0.3,0.1,0.5,-0.99,0.62,-2.1,-3.15,0.02,0.001,0.256,0.744,0.015,0,220.2,0.3,0.2,-0.91,-3.78,0.044,217.5,0.3,0.1,-1.87,-5.01,0.018
"Emc4",53.5,0.3,0.1,0,-1.05,-2.97,-1.88,-3.77,0.032,0,0.107,0.893,0.029,0,58,0.3,0.1,-1.39,-3.9,0.034,61.6,0.3,0,-2.97,-6.72,0.007
"Emc6",42.9,0,0,0.2,0,2.46,-2.16,-3.02,0.019,0.004,0.315,0.685,0.013,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"Emc7",104.3,0.1,0,0.1,-1.1,0.22,-2.15,-3.39,0.022,0,0.219,0.781,0.017,0,107.8,0.1,0.1,-0.1,-4.08,0.047,98.6,0.1,0,-1.1,-6.6,0.009
"Emcn",240.7,0.2,0.2,0.3,-0.1,0.33,-2,-3.32,0.022,0.001,0.192,0.808,0.018,0,257.8,0.2,0,-2.48,-6.22,0.008,263.1,0.2,0.1,-1.44,-4.99,0.014
"Emd",39.1,0,0.1,0,1.92,0,-1.61,-3.75,0.061,0,0.084,0.916,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eme1",41.9,0.1,0.1,0.2,0.12,0.2,-1.92,-3.31,0.025,0,0.17,0.83,0.02,0,43.4,0.1,0.1,-0.8,-4.01,0.045,45.1,0.1,0.1,-0.76,-4.38,0.034
"Emg1",43.3,63.7,0.1,0,-9.06,-10.32,-2.23,-3.87,0.022,0,0.166,0.834,0.018,0,49,63.7,0,-10.32,-7.15,0.007,49.1,63.7,0,-10.32,-7.69,0.006
"Eml1",92.7,0.3,0.2,0,-0.37,-2.75,-1.81,-3.79,0.033,0,0.092,0.908,0.03,0,89.3,0.3,0,-2.75,-6.27,0.008,94.1,0.3,0,-2.75,-6.79,0.006
"Eml3",4.4,0.1,0,0,-1.1,-1.1,-2.04,-3.7,0.028,0,0.147,0.853,0.024,0,4.9,0.1,0,-1.1,-5.94,0.016,4.6,0.1,0,-1.1,-6.49,0.011
"Eml4",94.1,107.4,0.1,25.4,-9.81,-2.08,-2.23,-3.25,0.02,0.001,0.272,0.728,0.015,0,79.2,107.4,0,-11.07,-7.16,0.008,82.7,107.4,0.1,-10.03,-7.21,0.002
"Eml5",241.8,148.3,0.6,0.4,-7.93,-8.44,-2.21,-3.84,0.017,0,0.154,0.846,0.015,0,242.7,148.3,0.1,-10.53,-6.79,0.006,238,148.3,0.1,-10.49,-7.26,0.003
"Eml6",32.3,0.5,0.1,0,-2.08,-3.34,-2.01,-3.8,0.026,0,0.121,0.879,0.023,0,35.8,0.5,0,-3.34,-6.38,0.012,34.6,0.5,0,-3.34,-6.85,0.007
"Emp1",265.7,5.4,0.2,0.2,-4.4,-4.78,-2.13,-3.71,0.022,0,0.151,0.849,0.019,0,269.7,5.4,0,-6.78,-6.83,0.008,281.5,5.4,0.1,-5.74,-6.37,0.003
"Emp2",194.4,1.2,0.1,0.7,-2.74,-0.81,-2.12,-3.29,0.018,0.001,0.232,0.768,0.014,0,206.7,1.2,0,-4.67,-6.56,0.006,209.3,1.2,0,-4.67,-7.07,0.004
"Emp3",7.4,0,0.1,0,1.26,0,-1.67,-3.66,0.06,0,0.098,0.902,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0
"Emr1",48.6,0.1,0.1,0,0.03,-1.23,-1.83,-3.74,0.036,0,0.115,0.885,0.032,0,39.8,0.1,0,-1.23,-5.97,0.015,43.1,0.1,0,-1.23,-6.63,0.009
"Emx2",16.2,0.1,0,0,-1.1,-1.1,-2.08,-3.71,0.025,0,0.16,0.84,0.021,0,16.2,0.1,0,-1.1,-5.86,0.017,16.7,0.1,0,-1.1,-6.62,0.008
"Enah",247,29.6,0.7,1,-5.31,-4.85,-2.2,-3.63,0.017,0,0.16,0.84,0.014,0,241,29.6,0,-9.21,-6.92,0.008,231.5,29.6,0.1,-8.17,-6.84,0.003
"Enc1",156.1,5.5,0.2,0.2,-4.42,-4.79,-2.13,-3.72,0.02,0,0.148,0.852,0.017,0,142,5.5,0,-6.79,-6.75,0.007,146.1,5.5,0.1,-5.75,-6.23,0.003
"Endod1",78,0.2,0.2,0.1,-0.15,-1.21,-1.86,-3.53,0.031,0,0.119,0.881,0.027,0,85.7,0.2,0,-2.53,-6.25,0.01,77.7,0.2,0.1,-1.49,-4.82,0.019
"Endog",1,0.1,0,0,-1.1,-1.1,-2.07,-3.71,0.023,0,0.143,0.857,0.02,0,0.9,0.1,0,-1.1,-5.88,0.016,1.2,0.1,0,-1.1,-6.53,0.012
"Endov",1.9,0,0.1,0,1.26,0,-1.62,-3.69,0.065,0,0.097,0.903,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enkur",454.5,25.3,0.6,0.3,-5.22,-6.17,-2.13,-3.77,0.02,0,0.142,0.858,0.017,0,427.8,25.3,0.2,-6.66,-5.65,0.005,443.7,25.3,0.1,-7.94,-6.82,0.002
"Eno1b",11,0,0.1,0,1.26,0,-1.67,-3.72,0.053,0,0.094,0.906,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eno3",13.2,8.5,0,0,-7.43,-7.43,-2.22,-3.86,0.021,0,0.164,0.836,0.017,0,10.2,8.5,0,-7.43,-6.84,0.006,10.2,8.5,0,-7.43,-7.38,0.004
"Eno4",20.7,0,0.1,0,1.26,0,-1.75,-3.69,0.055,0,0.106,0.894,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enox1",12.7,0,0.1,0,1.26,0,-1.68,-3.72,0.058,0,0.096,0.904,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enox2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,0,0.1,1,-3.52,0.091,0,0,0,0,0,0
"Enpep",147.7,0.1,0.3,0,1.2,-1.8,-1.63,-3.81,0.052,0,0.074,0.926,0.048,0,135,0.1,0,-1.8,-6.07,0.015,138.1,0.1,0,-1.8,-6.67,0.009
"Enpp2",223.3,0.1,0.2,0.2,1.15,0.77,-1.88,-3.39,0.032,0,0.149,0.851,0.027,0,197.6,0.1,0.1,-0.23,-4.17,0.042,230.9,0.1,0.1,-0.19,-4.66,0.033
"Enpp3",83.7,0.1,0.1,0,0.82,-1.1,-1.75,-3.73,0.042,0,0.089,0.911,0.039,0,72.8,0.1,0,-1.1,-6.01,0.013,73.8,0.1,0,-1.1,-6.51,0.011
"Enpp4",112.3,0,0.3,0,2.72,0,-1.55,-3.74,0.075,0,0.071,0.929,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enpp5",107.4,0.1,0.2,0.1,1.28,0.22,-1.78,-3.55,0.039,0,0.123,0.877,0.034,0,113.4,0.1,0,-1.1,-6.08,0.013,103.5,0.1,0.1,-0.06,-4.33,0.037
"Ensa",15.6,0.1,0.1,0,0.03,-1.23,-1.8,-3.72,0.037,0,0.093,0.907,0.033,0,14.7,0.1,0,-1.23,-5.89,0.017,15.8,0.1,0,-1.23,-6.58,0.012
"Enthd2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0.1,1,-2.77,0.168,0,0,0,0,0,0
"Entpd1",90.4,0,0,0.2,0,2,-2.14,-3.17,0.02,0.002,0.281,0.719,0.015,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"Entpd4",147.8,1.7,0,0.5,-5.15,-1.82,-2.22,-3.37,0.021,0,0.234,0.766,0.016,0,134.3,1.7,0.1,-4.15,-5.35,0.01,137.6,1.7,0.2,-2.76,-4.64,0.014
"Entpd5",179.2,0.1,0.2,1,1.15,3.13,-2.09,-2.86,0.025,0.006,0.327,0.673,0.017,0.002,180.5,0.1,0,-1.23,-6.11,0.013,170.7,0.1,0,-1.23,-6.69,0.01
"Eny2",66.1,55.7,0,0,-10.12,-10.12,-2.22,-3.91,0.019,0,0.141,0.859,0.016,0,73,55.7,0.1,-8.54,-6.31,0.005,69.5,55.7,0,-10.12,-7.75,0.004
"Eogt",33.4,8.1,0.1,0,-6.08,-7.34,-2.19,-3.87,0.016,0,0.158,0.842,0.013,0,32.2,8.1,0,-7.34,-6.74,0.009,35.5,8.1,0,-7.34,-7.42,0.004
"Ep400",192.5,21,1.1,0.3,-4.17,-5.91,-2.05,-3.76,0.02,0,0.124,0.876,0.017,0,226.3,21,0.2,-6.72,-5.76,0.006,215.9,21,0.1,-7.68,-6.74,0.002
"Epas1",89.8,0.1,0.1,0,0.03,-1.23,-1.82,-3.76,0.04,0,0.097,0.903,0.036,0,93,0.1,0.1,0.36,-3.24,0.092,97.4,0.1,0,-1.23,-6.62,0.01
"Epb4.1",73,5.6,0,0,-6.82,-6.82,-2.2,-3.86,0.021,0,0.155,0.845,0.017,0,71.2,5.6,0,-6.82,-6.68,0.01,79.3,5.6,0.2,-4.76,-5.39,0.007
"Epb4.1l1",57.6,2.1,0,0,-5.4,-5.4,-2.22,-3.81,0.019,0,0.164,0.836,0.016,0,50.1,2.1,0,-5.4,-6.58,0.009,52.8,2.1,0,-5.4,-7.1,0.005
"Epb4.1l2",190.2,0.3,0.2,0.8,-0.25,1.38,-2.04,-3.02,0.02,0.002,0.269,0.731,0.015,0.001,191.4,0.3,0.1,-1.63,-4.61,0.023,187.2,0.3,0,-2.63,-6.89,0.006
"Epb4.1l3",193.2,0.1,0.6,0.4,2.66,1.99,-1.77,-3.26,0.038,0.001,0.147,0.853,0.033,0,196.4,0.1,0.1,-0.1,-4.21,0.042,207.5,0.1,0.1,-0.06,-4.58,0.034
"Epb4.1l4a",58,182.1,0.1,0.1,-9.91,-10.51,-2.18,-3.87,0.02,0,0.136,0.864,0.017,0,51.5,182.1,0,-11.83,-7.1,0.009,52.4,182.1,0,-11.83,-7.88,0.004
"Epb4.1l4b",109.5,24.9,0.1,0.2,-7.04,-6.5,-2.21,-3.79,0.019,0,0.169,0.831,0.016,0,98.2,24.9,0,-8.96,-6.87,0.006,99.9,24.9,0,-8.96,-7.51,0.004
"Epb4.1l5",85.1,12.5,0.1,0,-6.05,-7.97,-2.15,-3.85,0.023,0,0.143,0.857,0.02,0,74.9,12.5,0,-7.97,-6.84,0.007,84,12.5,0,-7.97,-7.57,0.004
"Epc1",95.1,0,0.1,0,1.92,0,-1.63,-3.76,0.061,0,0.084,0.916,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epc2",106.8,53.6,244.5,0.2,2.19,-7.6,-1.05,-3.87,0.174,0,0.041,0.959,0.167,0,117.4,53.6,7,-2.93,-3.82,0.033,109.7,53.6,0.1,-9.03,-7,0.002
"Epcam",88.4,74.9,0,0,-10.55,-10.55,-2.17,-3.86,0.02,0,0.156,0.844,0.017,0,73.6,74.9,0,-10.55,-7.09,0.007,75.8,74.9,0,-10.55,-7.9,0.004
"Epdr1",138.4,2.2,0.1,0.7,-4.21,-1.61,-2.16,-3.33,0.021,0,0.234,0.766,0.016,0,132.8,2.2,0.2,-3.15,-4.46,0.019,147.7,2.2,0.1,-4.43,-5.86,0.006
"Epg5",28.8,0,0,0.1,0,1.32,-2.12,-3.26,0.024,0.001,0.251,0.749,0.018,0,0,0,0,0,0,0,35.2,0,0.1,1.04,-3.73,0.097
"Epgn",6.4,0.1,0,0,-1.1,-1.1,-2.06,-3.68,0.026,0,0.149,0.851,0.022,0,7.3,0.1,0,-1.1,-5.9,0.015,6.8,0.1,0,-1.1,-6.48,0.013
"Epha4",101,0.1,0,0,-1.23,-1.23,-2.12,-3.77,0.021,0,0.148,0.852,0.018,0,106,0.1,0,-1.23,-6.1,0.014,101.4,0.1,0.1,-0.19,-4.28,0.044
"Epha5",19.4,0.3,0.1,0,-1.41,-2.67,-1.99,-3.75,0.022,0,0.123,0.877,0.019,0,12,0.3,0,-2.67,-6.15,0.012,10.4,0.3,0,-2.67,-6.67,0.006
"Epha6",21.4,0.1,0,0.1,-1.1,0.22,-2.16,-3.26,0.023,0.002,0.251,0.749,0.018,0,23.7,0.1,0,-1.1,-5.99,0.018,24.4,0.1,0,-1.1,-6.62,0.009
"Epha7",46.7,0.1,0,0,-1.88,-1.88,-2.1,-3.69,0.026,0,0.15,0.85,0.022,0,53.6,0.1,0,-1.88,-5.96,0.013,59.7,0.1,0,-1.88,-6.65,0.008
"Ephx1",141.4,141.5,0.2,0.2,-9.09,-9.01,-2.2,-3.87,0.021,0,0.147,0.853,0.018,0,135,141.5,0,-11.47,-7.2,0.009,147.6,141.5,0.2,-9.41,-7,0.002
"Ephx2",171.4,92.4,0.3,0.2,-7.85,-8.85,-2.2,-3.81,0.023,0,0.158,0.842,0.02,0,155.6,92.4,0,-10.85,-7.05,0.008,161.9,92.4,0,-10.85,-7.73,0.004
"Ephx4",64.7,0,0.2,0,2.38,0,-1.56,-3.79,0.074,0,0.08,0.92,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epm2aip1",243.9,0.4,0.2,0.2,-0.67,-0.58,-1.99,-3.4,0.026,0,0.168,0.832,0.021,0,259.4,0.4,0,-3.05,-6.33,0.008,252.2,0.4,0,-3.05,-6.92,0.007
"Epn2",25.3,0.1,0.1,0,0.16,-1.1,-1.8,-3.76,0.037,0,0.101,0.899,0.033,0,32.2,0.1,0.1,-0.1,-3.68,0.073,32.9,0.1,0,-1.1,-6.6,0.007
"Eprs",164.2,0,0.2,0,2.38,0,-1.68,-3.79,0.053,0,0.087,0.913,0.048,0,161,0,0.1,1,-3.74,0.076,0,0,0,0,0,0
"Eps15",196,1.1,0.1,0,-2.58,-4.51,-2.02,-3.8,0.02,0,0.121,0.879,0.018,0,187.4,1.1,0,-4.51,-6.44,0.008,187.3,1.1,1147.1,9.98,7.83,0.994
"Eps8",95.9,24.3,0,0,-8.93,-8.93,-2.23,-3.88,0.018,0,0.157,0.843,0.015,0,90.9,24.3,0,-8.93,-6.92,0.008,84.7,24.3,0,-8.93,-7.52,0.004
"Eps8l2",9.3,0.5,0,0,-3.52,-3.52,-2.15,-3.78,0.026,0,0.153,0.847,0.022,0,11.3,0.5,0,-3.52,-6.29,0.01,10.6,0.5,0,-3.52,-6.72,0.006
"Eps8l3",5.1,0.1,0,0,-1.1,-1.1,-2.1,-3.71,0.02,0,0.148,0.852,0.017,0,5,0.1,0,-1.1,-5.96,0.017,3.5,0.1,0,-1.1,-6.51,0.009
"Ept1",90,1.8,0.1,0,-3.27,-5.2,-2.04,-3.83,0.022,0,0.126,0.874,0.019,0,85.7,1.8,0,-5.2,-6.53,0.007,89.5,1.8,0.1,-4.15,-5.61,0.007
"Epyc",77.5,5.5,0,0,-6.8,-6.8,-2.22,-3.82,0.024,0,0.175,0.825,0.02,0,79.8,5.5,0,-6.8,-6.78,0.007,72.4,5.5,0,-6.8,-7.27,0.004
"Eqtn",293.2,0.2,0.3,0.2,0.51,0.25,-1.93,-3.38,0.027,0,0.158,0.842,0.023,0,284.6,0.2,0,-2.21,-6.21,0.013,295.9,0.2,0.1,-1.17,-4.95,0.019
"Eral1",21.3,143.2,0,0.1,-11.48,-10.16,-2.23,-3.86,0.02,0,0.159,0.841,0.017,0,26.7,143.2,0.1,-10.48,-6.73,0.005,24.1,143.2,0,-11.48,-7.72,0.005
"Erap1",62,0.1,0.1,0,-0.45,-1.72,-1.87,-3.79,0.031,0,0.108,0.892,0.028,0,63.9,0.1,0.1,-0.13,-3.48,0.072,62.3,0.1,0.1,-0.68,-4.4,0.037
"Erbb2ip",333,1.2,0.8,1,-0.66,-0.33,-1.99,-3.28,0.022,0.001,0.188,0.812,0.018,0,325.2,1.2,0.1,-3.69,-5.22,0.011,327.4,1.2,0.1,-3.65,-5.69,0.006
"Erc1",31.8,0.1,0.2,0,1.28,-1.1,-1.58,-3.77,0.063,0,0.067,0.933,0.059,0,33,0.1,0,-1.1,-6.08,0.014,34.9,0.1,0,-1.1,-6.56,0.01
"Erc2",87.2,0,0.1,0.3,1.26,2.81,-2.05,-3.09,0.023,0.002,0.267,0.733,0.017,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"Ercc4",11.4,0.1,0,0,-1.1,-1.1,-2.05,-3.69,0.028,0,0.158,0.842,0.024,0,11.9,0.1,0,-1.1,-5.96,0.014,15.9,0.1,0,-1.1,-6.5,0.009
