"prey","Base","Vec","Rab5GDP","Rab5GTP","Enr_GDP","Enr_GTP","sEnr_GDP","sEnr_GTP","p_GDP_Vec","p_GTP_Vec","p_GTP_GDP","p_GDP_GTP","p_GDP","p_GTP","Base_diUb","Vec_diUb","diUb1","Enr_diUb","sEnr_diUb","p_Bind_diUb","Base_diUb4","Vec_diUb4","di4spUb","Enr_diUb4","sEnr_diUb4","p_Bind_diUb4"
"1700001K19Rik",24.6,2.3,0,0,-5.58,-5.58,-2.15,-3.79,0.023,0,0.154,0.846,0.019,0,27,2.3,0.1,-4.58,-5.25,0.01,28.2,2.3,0,-5.58,-7.18,0.005
"1700001O22Rik",23.7,0,0.1,0,1.26,0,-1.73,-3.72,0.045,0,0.098,0.902,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001P01Rik",39.3,0,0.1,0,1.92,0,-1.62,-3.75,0.068,0,0.086,0.914,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M02Rik",49.6,0.1,0.1,0,0.16,-1.1,-1.83,-3.73,0.04,0,0.1,0.9,0.036,0,38.9,0.1,0,-1.1,-6.03,0.014,39.3,0.1,0,-1.1,-6.63,0.008
"1700006A11Rik",75,0,0,0.2,0,2,-2.16,-3.15,0.016,0.002,0.285,0.715,0.012,0.001,88.4,0,0.1,1,-3.78,0.067,0,0,0,0,0,0
"1700006E09Rik",62.6,0.1,0,0.5,-1.23,2.3,-2.17,-2.69,0.018,0.012,0.399,0.601,0.011,0.005,55.4,0.1,0,-1.23,-6.01,0.015,57.3,0.1,0,-1.23,-6.66,0.011
"1700007B14Rik",87,0.1,0.1,0.1,0.03,0.09,-1.97,-3.43,0.028,0,0.168,0.832,0.024,0,100.6,0.1,0,-1.23,-6.01,0.013,89.4,0.1,0,-1.23,-6.79,0.008
"1700007G11Rik",85.3,0,0.2,0,2.38,0,-1.58,-3.79,0.069,0,0.077,0.923,0.064,0,0,0,0,0,0,0,83.8,0,0.1,1.04,-3.97,0.072
"1700007K09Rik",207.7,0.1,0.1,0.2,0.69,1.23,-2.01,-3.28,0.025,0.001,0.198,0.802,0.02,0,191.7,0.1,0,-1.23,-6.03,0.013,194,0.1,0.2,0.83,-3.35,0.089
"1700007K13Rik",15.5,236.9,0,0,-12.21,-12.21,-2.22,-3.87,0.025,0,0.151,0.849,0.021,0,14.4,236.9,0.1,-11.21,-6.81,0.006,18.2,236.9,0,-12.21,-7.83,0.004
"1700008F21Rik",321.6,104,32.9,0.7,-1.66,-7.16,-1.81,-3.86,0.034,0,0.085,0.915,0.031,0,290.1,104,133,0.35,-1.58,0.24,288.1,104,0.1,-9.98,-7.14,0.002
"1700008I05Rik",93.9,10.1,0,0,-7.67,-7.67,-2.2,-3.86,0.018,0,0.148,0.852,0.015,0,110.8,10.1,0.3,-5.08,-5.11,0.008,108.2,10.1,0.1,-6.63,-6.42,0.003
"1700009N14Rik",179,0.2,0.1,0.4,-0.89,0.94,-2.1,-3.17,0.023,0.001,0.252,0.748,0.017,0,160.1,0.2,0,-2.15,-6.2,0.011,168.8,0.2,0.2,-0.09,-3.8,0.052
"1700010B08Rik",92.1,0.2,0.2,0,-0.1,-2.48,-1.79,-3.79,0.04,0,0.096,0.904,0.036,0,93,0.2,0,-2.48,-6.13,0.01,84.5,0.2,0,-2.48,-6.69,0.008
"1700010I14Rik",151.5,0.2,0.3,0,0.51,-2.21,-1.73,-3.8,0.04,0,0.089,0.911,0.036,0,153.2,0.2,0.1,-1.21,-4.53,0.023,159.2,0.2,0.2,-0.15,-3.71,0.05
"1700011E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.3,0,0.1,1.04,-3.77,0.085
"1700011H14Rik",477.6,1.2,0.2,0.6,-2.22,-0.89,-2.11,-3.33,0.02,0,0.209,0.791,0.016,0,504.9,1.2,0,-4.6,-6.54,0.007,496.2,1.2,0.2,-2.21,-4.63,0.02
"1700011I03Rik",38.7,0.1,0,0,-1.23,-1.23,-2.09,-3.71,0.026,0,0.164,0.836,0.022,0,40.6,0.1,0,-1.23,-5.98,0.015,41.2,0.1,0.1,-0.19,-4,0.061
"1700011L22Rik",101.1,0.1,0.2,0,0.49,-1.88,-1.71,-3.77,0.045,0,0.078,0.922,0.041,0,93.9,0.1,0,-1.88,-6.08,0.013,85.8,0.1,0,-1.88,-6.69,0.007
"1700012A03Rik",212.9,0.1,0.1,0,0.12,-1.8,-1.81,-3.77,0.033,0,0.093,0.907,0.03,0,189.8,0.1,0,-1.8,-6.15,0.012,202.9,0.1,0.2,0.58,-3.28,0.093
"1700012B07Rik",90.3,0.1,0.1,0,0.12,-1.8,-1.77,-3.77,0.04,0,0.096,0.904,0.037,0,99.6,0.1,0.2,0.2,-3.24,0.079,97.3,0.1,0.2,0.26,-3.33,0.085
"1700012P22Rik",149.5,0.1,0.1,0.2,-0.45,0.29,-2.09,-3.38,0.021,0,0.212,0.788,0.016,0,154.4,0.1,0.2,0.61,-3.04,0.099,151.6,0.1,0.1,-0.68,-4.67,0.024
"1700013F07Rik",49.4,0,0.1,0.1,1.92,1.32,-1.86,-3.49,0.033,0,0.134,0.866,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013G24Rik",3.4,0,0.1,0,1.26,0,-1.7,-3.75,0.059,0,0.096,0.904,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",197.1,0.1,0.1,0.5,0.21,1.61,-2.06,-3.12,0.024,0.001,0.255,0.745,0.018,0,198.6,0.1,0,-1.72,-6.11,0.015,208.7,0.1,0,-1.72,-6.74,0.006
"1700015E13Rik",42.9,0,0.2,0,2.38,0,-1.52,-3.76,0.085,0,0.07,0.93,0.079,0,0,0,0,0,0,0,38.3,0,0.1,1.04,-3.88,0.083
"1700015F17Rik",80.7,0.1,0.2,0,1.15,-1.23,-1.63,-3.79,0.053,0,0.081,0.919,0.049,0,74.8,0.1,0,-1.23,-5.94,0.016,76.7,0.1,0.1,-0.19,-4.43,0.037
"1700015G11Rik",31.2,0.2,0,0.1,-2.15,-0.82,-2.13,-3.38,0.023,0,0.217,0.783,0.018,0,38.4,0.2,0,-2.15,-6.14,0.011,34.8,0.2,0.1,-1.11,-4.6,0.024
"1700016D06Rik",71.6,0.1,0,0,-1.1,-1.1,-2.1,-3.7,0.019,0,0.154,0.846,0.016,0,74,0.1,0,-1.1,-5.99,0.014,66.2,0.1,0,-1.1,-6.57,0.011
"1700016H13Rik",18.5,0,0.1,0,1.26,0,-1.71,-3.7,0.05,0,0.101,0.899,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017D01Rik",172.3,1.6,0.1,0,-3.11,-5.03,-2.07,-3.81,0.017,0,0.121,0.879,0.015,0,152.8,1.6,0,-5.03,-6.49,0.009,159.7,1.6,0,-5.03,-7.11,0.005
"1700017N19Rik",440.5,0.4,0.8,1.1,0.95,1.48,-1.97,-3.19,0.021,0.001,0.203,0.797,0.017,0,436.2,0.4,0.3,-0.27,-3.38,0.068,422.2,0.4,0.3,-0.21,-3.74,0.051
"1700018C11Rik",46.5,0.5,0,0,-3.34,-3.34,-2.18,-3.81,0.022,0,0.165,0.835,0.018,0,46.7,0.5,0,-3.34,-6.27,0.014,46.3,0.5,0,-3.34,-6.86,0.005
"1700018F24Rik",211.1,1,0.3,0.1,-1.74,-3.13,-1.95,-3.7,0.022,0,0.116,0.884,0.019,0,194.5,1,0.1,-3.46,-5.12,0.01,204.1,1,0.1,-3.42,-5.47,0.007
"1700019B03Rik",19,0,0,0.1,0,1.32,-2.12,-3.26,0.021,0.001,0.248,0.752,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",159.2,0.3,0.1,0.1,-1.49,-1.42,-2.06,-3.55,0.025,0,0.168,0.832,0.021,0,144.5,0.3,0,-2.75,-6.32,0.01,146.3,0.3,0.1,-1.71,-5.08,0.015
"1700019G17Rik",184.8,0,0.3,0.5,2.72,3.32,-1.95,-3.18,0.023,0.001,0.212,0.788,0.018,0,179.8,0,0.1,1,-3.86,0.071,177.1,0,0.1,1.04,-4.16,0.057
"1700019N19Rik",122.6,0.1,0.2,0.1,0.57,-0.48,-1.83,-3.56,0.039,0,0.123,0.877,0.034,0,118.9,0.1,0.1,-0.8,-4.25,0.033,126,0.1,0,-1.8,-6.73,0.008
"1700020D05Rik",32.9,0.1,0.1,0,0.03,-1.23,-1.85,-3.76,0.032,0,0.103,0.897,0.029,0,30.9,0.1,0,-1.23,-6.01,0.016,27.8,0.1,0,-1.23,-6.53,0.008
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0.1,1,-3.32,0.115,0,0,0,0,0,0
"1700021F05Rik",21.1,0,0.1,0,1.26,0,-1.7,-3.7,0.055,0,0.095,0.905,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021K19Rik",43.1,88.8,0,0,-10.8,-10.8,-2.18,-3.85,0.025,0,0.155,0.845,0.021,0,53.1,88.8,0,-10.8,-7.26,0.01,46.3,88.8,0,-10.8,-7.73,0.006
"1700022I11Rik",49.7,0.1,0,0,-1.1,-1.1,-2.08,-3.76,0.024,0,0.149,0.851,0.021,0,49.2,0.1,0,-1.1,-6.02,0.014,48.1,0.1,0,-1.1,-6.66,0.009
"1700023E05Rik",49,0,0.1,0.2,1.92,2,-1.9,-3.3,0.036,0.001,0.181,0.819,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P04Rik",14,0,0.1,0,1.26,0,-1.73,-3.72,0.053,0,0.1,0.9,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F22Rik",200.5,0.1,0.1,0.2,0.12,0.2,-2,-3.38,0.027,0,0.179,0.821,0.022,0,189,0.1,0.1,-0.8,-4.47,0.028,204.6,0.1,0,-1.8,-6.78,0.007
"1700025G04Rik",66.7,0.1,0,0.2,-1.23,0.77,-2.17,-3.1,0.023,0.002,0.288,0.712,0.016,0.001,65,0.1,0.1,0.36,-3.03,0.106,67,0.1,0,-1.23,-6.54,0.008
"1700026D08Rik",283.2,23,0.2,0.9,-6.47,-4.6,-2.2,-3.64,0.02,0,0.18,0.82,0.017,0,307.7,23,0.5,-5.53,-5.22,0.007,303,23,0.1,-7.81,-6.83,0.002
"1700026L06Rik",81.6,0.1,0,0,-1.72,-1.72,-2.15,-3.7,0.02,0,0.162,0.838,0.016,0,85.3,0.1,0,-1.72,-6.06,0.014,82.4,0.1,0,-1.72,-6.76,0.008
"1700028K03Rik",32.8,1.6,0.1,0,-3.13,-5.05,-2.05,-3.83,0.025,0,0.126,0.874,0.022,0,27.9,1.6,0,-5.05,-6.43,0.008,34.4,1.6,0,-5.05,-7.1,0.003
"1700028P14Rik",267.7,0.1,0.3,0.5,1.77,2.1,-1.97,-3.22,0.023,0.001,0.203,0.797,0.018,0,261.3,0.1,0.2,0.77,-3.25,0.087,258.1,0.1,0,-1.23,-6.66,0.007
"1700029F12Rik",76.2,0,0.1,0,1.26,0,-1.72,-3.74,0.046,0,0.099,0.901,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029H14Rik",42.9,27.2,0.1,0,-7.16,-9.09,-2.19,-3.81,0.019,0,0.152,0.848,0.016,0,41.8,27.2,0,-9.09,-6.92,0.008,48.5,27.2,121.4,2.16,-0.42,0.434
"1700029J07Rik",41.1,0.1,0,0,-1.1,-1.1,-2.09,-3.69,0.022,0,0.156,0.844,0.018,0,40.5,0.1,0,-1.1,-6.05,0.015,42.3,0.1,0,-1.1,-6.61,0.01
"1700030F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0.1,1.04,-3.51,0.112
"1700034E13Rik",24.9,0,0,0.1,0,1.32,-2.09,-3.23,0.02,0.002,0.254,0.746,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034F02Rik",48.4,0,0.1,0,1.26,0,-1.74,-3.73,0.045,0,0.1,0.9,0.041,0,0,0,0,0,0,0,32.4,0,0.1,1.04,-3.7,0.096
"1700034J05Rik",221.8,0,0.2,0,2.38,0,-1.65,-3.77,0.052,0,0.085,0.915,0.048,0,209.3,0,0.1,1,-3.97,0.067,222.2,0,0.3,2.65,-3.17,0.143
"1700034O15Rik",28.5,0,0.1,0,1.26,0,-1.72,-3.73,0.043,0,0.095,0.905,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700040L02Rik",354.2,0.2,0.3,0.2,0.19,-0.53,-1.89,-3.5,0.027,0,0.131,0.869,0.023,0,332.3,0.2,0,-2.53,-6.27,0.012,355.4,0.2,0.1,-1.49,-5.06,0.014
"1700049G17Rik",38.4,0.1,0.2,0.1,1.28,0.22,-1.75,-3.48,0.045,0,0.12,0.88,0.039,0,49,0.1,0,-1.1,-6.03,0.015,42.6,0.1,0,-1.1,-6.56,0.01
"1700052N19Rik",161.6,30.2,0.6,0.3,-5.48,-6.43,-2.18,-3.75,0.019,0,0.148,0.852,0.016,0,155,30.2,0,-9.24,-6.97,0.006,153.3,30.2,0.1,-8.2,-6.83,0.004
"1700056E22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0.1,1,-2.89,0.153,0,0,0,0,0,0
"1700057G04Rik",215.8,0.1,0.2,0.3,0.57,1.01,-1.99,-3.24,0.024,0.001,0.195,0.805,0.02,0,245.8,0.1,0.1,-0.8,-4.46,0.03,246.9,0.1,0,-1.8,-6.71,0.006
