"prey","bait","Specificity_score","In_frame_score","In_frame_prey_transcripts","Sum_scores","Borda_scores"
"AT1G03900","NINJA_SE",0,0.298182762201454,"AT1G03900.1",0.298182762201454,1.9829920968711
"AT1G03905","EMPTY_SE",0.195972930940969,0,"0",0.195972930940969,2.45079111212658
"AT1G03910","EMPTY_SE",0.458147972006106,0,"0",0.458147972006106,5.65445440168687
"AT1G03920","EMPTY_SE",0.0558049185376315,0,"0",0.0558049185376315,1.88225488045624
"AT1G03930","NINJA_SE",0.0826920024727574,0,"0",0.0826920024727574,1.96843602330596
"AT1G03940","NINJA_SE",0.361052201900657,1,"AT1G03940.1",1.36105220190066,8.1539338654504
"AT1G03950","EMPTY_SE",0.23628366264741,0,"0",0.23628366264741,2.68397347679219
"AT1G03970","EMPTY_SE",0.0761181716243383,0,"0",0.0761181716243383,1.94611511770309
"AT1G03980","EMPTY_SE",0.021504511995609,0,"0",0.021504511995609,1.78121886416473
"AT1G04000","EMPTY_SE",0.246493286933795,0,"0",0.246493286933795,2.75003204717344
"AT1G04000","NINJA_SE",0,0.298182762201454,"AT1G04000.1",0.298182762201454,1.982808817413
"AT1G04003","EMPTY_SE",0.221843586977532,0,"0",0.221843586977532,2.60036363636364
"AT1G04007","NINJA_SE",0.241159624955955,0,"0",0.241159624955955,2.71935606540753
"AT1G04010","NINJA_SE",0.3235285333157,0,"0",0.3235285333157,3.38188697091511
"AT1G04017","NINJA_SE",0.241159624955955,0,"0",0.241159624955955,2.71883911032254
"AT1G04020","NINJA_SE",0.382953644257056,0,"0",0.382953644257056,4.10858948577995
"AT1G04030","NINJA_SE",0.402994675747533,0,"0",0.402994675747533,4.42923505729328
"AT1G04033","EMPTY_SE",0.151571303154866,0,"0",0.151571303154866,2.25844825771134
"AT1G04040","EMPTY_SE",0.127300155453302,0,"0",0.127300155453302,2.13250497017893
"AT1G04040","NINJA_SE",0,0.873364485981308,"AT1G04040.1",0.873364485981308,2.13930993218987
"AT1G04050","EMPTY_SE",0.344906524579555,0,"0",0.344906524579555,3.63117806364252
"AT1G04067","EMPTY_SE",0.107483551439847,0,"0",0.107483551439847,2.05557418674843
"AT1G04070","NINJA_SE",0.433537793689472,0.750986500519211,"AT1G04070.1",1.18452429420868,9.95498839907193
"AT1G04077","NINJA_SE",0.213033417369829,0,"0",0.213033417369829,2.55180206970382
"AT1G04080","EMPTY_SE",0.225586594958952,0,"0",0.225586594958952,2.61542212740018
"AT1G04090","NINJA_SE",0.213033417369829,0,"0",0.213033417369829,2.55134685140037
"AT1G04100","NINJA_SE",0.355889928373906,0,"0",0.355889928373906,3.73843338851616
"AT1G04103","NINJA_SE",0.304684853973886,0,"0",0.304684853973886,3.21369185828777
"AT1G04120","NINJA_SE",0.266297745728697,0,"0",0.266297745728697,2.88560091465465
"AT1G04130","EMPTY_SE",0.347333473165286,0,"0",0.347333473165286,3.63517749724646
"AT1G04140","EMPTY_SE",0.0700425119910046,0,"0",0.0700425119910046,1.9242947481724
"AT1G04160","NINJA_SE",0.304684853973886,0,"0",0.304684853973886,3.21248876909254
"AT1G04170","EMPTY_SE",0.0473129835151013,0,"0",0.0473129835151013,1.85267066799085
"AT1G04170","NINJA_SE",0,0.298182762201454,"AT1G04170.1,AT1G04170.2",0.298182762201454,1.98253396174106
"AT1G04183","EMPTY_SE",0.309026448395657,0,"0",0.309026448395657,3.23647884136683
"AT1G04190","NINJA_SE",0.208759220422975,0.298182762201454,"AT1G04190.1",0.506941982624429,3.12954048140044
"AT1G04200","EMPTY_SE",0.186302610804165,0,"0",0.186302610804165,2.39711715738309
"AT1G04203","EMPTY_SE",0.151571303154866,0,"0",0.151571303154866,2.25642913489351
"AT1G04210","NINJA_SE",0.209384692854477,0.298182762201454,"AT1G04210.1",0.507567455055931,3.13479944472857
"AT1G04220","NINJA_SE",0.341376441301069,0,"0",0.341376441301069,3.56480558325025
"AT1G04230","EMPTY_SE",0.0261165563467461,0,"0",0.0261165563467461,1.79028623883835
"AT1G04233","EMPTY_SE",0.138385000944188,0,"0",0.138385000944188,2.17587098737258
"AT1G04237","EMPTY_SE",0.271776138766096,0,"0",0.271776138766096,2.92933706561071
"AT1G04247","EMPTY_SE",0.46502140736123,0,"0",0.46502140736123,5.82961956521739
"AT1G04250","EMPTY_SE",0.435863050396432,0,"0",0.435863050396432,5.06863555818074
"AT1G04250","NINJA_SE",0,0.747403946002077,"AT1G04250.1",0.747403946002077,2.06497256713832
"AT1G04260","NINJA_SE",0.460815050239306,0.90404984423676,"AT1G04260.1",1.36486489447607,17.9073455759599
"AT1G04270","EMPTY_SE",0.475900990599352,0,"0",0.475900990599352,6.17263703064307
"AT1G04270","NINJA_SE",0,0.62128764278297,"AT1G04270.1",0.62128764278297,1.99916130835896
"AT1G04280","NINJA_SE",0.480874761880449,0.298182762201454,"AT1G04280.1,AT1G04280.2",0.779057524081903,12.5603044496487
"AT1G04290","NINJA_SE",0.467069953817079,0,"0",0.467069953817079,5.88801976121861
"AT1G04295","EMPTY_SE",0.0356488575143774,0,"0",0.0356488575143774,1.82051934826884
"AT1G04300","EMPTY_SE",0.316660592963624,0,"0",0.316660592963624,3.3055469953775
"AT1G04310","EMPTY_SE",0.0274736820336335,0,"0",0.0274736820336335,1.79342919244274
"AT1G04330","NINJA_SE",0.287083634069607,0,"0",0.287083634069607,3.04276292461528
"AT1G04340","NINJA_SE",0.249164660881538,0,"0",0.249164660881538,2.76153697625024
"AT1G04350","EMPTY_SE",0.261177886985288,0,"0",0.261177886985288,2.85279255319149
"AT1G04357","NINJA_SE",0.109130231451247,0,"0",0.109130231451247,2.06159907745531
"AT1G04380","EMPTY_SE",0.151571303154866,0,"0",0.151571303154866,2.25441361916772
"AT1G04390","EMPTY_SE",0.00599536811800379,0,"0",0.00599536811800379,1.73413628647644
"AT1G04400","NINJA_SE",0.402445522056663,0,"0",0.402445522056663,4.40377707071744
"AT1G04410","EMPTY_SE",0.498271872299595,0,"0",0.498271872299595,7.01422265816577
