"","prey","bait","Specificity_score","In_frame_score","In_frame_prey_transcripts","Sum_scores","Borda_scores","interactor","SNRFPKM"
"7701","AT3G54620","NINJA_SE",0,0.862409138110073,"AT3G54620.1,AT3G54620.2,AT3G54620.3",0.862409138110073,1.99432927396114,NA,0
"7702","AT3G54625","NINJA_SE",0.0961899701961475,0,"0",0.0961899701961475,1.42124614925966,NA,0
"7703","AT3G54640","NINJA_SE",0,0.808255451713396,"AT3G54640.1",0.808255451713396,1.96528032246244,NA,0
"7704","AT3G54650","NINJA_SE",0.0662640652726453,0,"0",0.0662640652726453,1.37215772810131,NA,0
"7705","AT3G54660","NINJA_SE",0.430696229518068,0.298182762201454,"AT3G54660.1",0.728878991719521,6.09200624733778,NA,0
"7706","AT3G54680","NINJA_SE",0,0.298182762201454,"AT3G54680.1",0.298182762201454,1.73231589147287,NA,0
"7707","AT3G54690","NINJA_SE",0,0.298182762201454,"AT3G54690.1",0.298182762201454,1.73217601937828,NA,0
"7708","AT3G54710","NINJA_SE",0.287902198700876,0,"0",0.287902198700876,1.87477060211483,NA,0
"7709","AT3G54720","NINJA_SE",0.390851383101615,0,"0",0.390851383101615,2.25916175231677,NA,0
"7710","AT3G54730","NINJA_SE",0.0529022674904215,0,"0",0.0529022674904215,1.35005191781253,NA,0
"7711","AT3G54740","NINJA_SE",0.110848122177042,0,"0",0.110848122177042,1.45006590286931,NA,0
"7712","AT3G54750","NINJA_SE",0.238065351342614,0,"0",0.238065351342614,1.73175653858573,NA,0
"7713","AT3G54760","NINJA_SE",0.264359828313699,1,"AT3G54760.1,AT3G54760.2",1.2643598283137,4.6071083431762,NA,0
"7714","AT3G54780","NINJA_SE",0,0.298182762201454,"AT3G54780.1,AT3G54780.2,AT3G54780.3,AT3G54780.4,AT3G54780.5",0.298182762201454,1.73203616986921,NA,0
"7715","AT3G54790","NINJA_SE",0.35833085089603,0,"0",0.35833085089603,2.12111924065652,NA,0
"7716","AT3G54826","NINJA_SE",0,0.298182762201454,"AT3G54826.1",0.298182762201454,1.73189634294018,NA,0
"7717","AT3G54840","NINJA_SE",0.448242011439444,0,"0",0.448242011439444,2.54952760116466,NA,0
"7718","AT3G54860","NINJA_SE",0,1,"AT3G54860.1,AT3G54860.2",1,2.06795835743204,NA,0
"7719","AT3G54890","NINJA_SE",0.413857772034996,0,"0",0.413857772034996,2.36605271865005,NA,0
