"prey","bait","Enrichment_score","Specificity_score","Sum_scores","Borda_scores"
"DST1-F[1,2]_FPR1-F[3]","H2O2",0.808648,0.244783115338882,1.05343111533888,3.66300366300366
"DST1-F[1,2]_FPR1-F[3]","NaCl",0.766972,0.0427375,0.8097095,2.13219616204691
"DST1-F[1,2]_ho::HphMX","CuSO4",0.362648,0,0.362648,1.36612021857923
"DST1-F[1,2]_ho::HphMX","DMSO",0.451296,0.432468888888889,0.883764888888889,2.89855072463768
"DST1-F[1,2]_ho::HphMX","FK506",0.369296,0.210802130177515,0.580098130177515,1.94552529182879
"DST1-F[1,2]_ho::HphMX","H2O2",0.48562,0.420342857142857,0.905962857142857,3.003003003003
"DST1-F[1,2]_ho::HphMX","NaCl",0.350648,0.134526446280992,0.485174446280992,1.72413793103448
"DST1-F[1,2]_HXT1-F[3]","CuSO4",0.204972,0.0761640236686391,0.281136023668639,1.39082058414465
"DST1-F[1,2]_HXT1-F[3]","DMSO",0.182648,0,0.182648,1.21506682867558
"DST1-F[1,2]_HXT1-F[3]","FK506",0.147296,0.270165,0.417461,1.71232876712329
"DST1-F[1,2]_HXT1-F[3]","H2O2",0.14162,0.581948611111111,0.723568611111111,2.16450216450216
"DST1-F[1,2]_HXT1-F[3]","NaCl",0.201296,0.0215259259259259,0.222821925925926,1.28700128700129
"DST1-F[1,2]_IMD3-F[3]","CuSO4",0.094648,0,0.094648,1.15207373271889
"DST1-F[1,2]_IMD3-F[3]","DMSO",0.046972,0.0519342011834319,0.0989062011834319,1.21802679658953
"DST1-F[1,2]_IMD3-F[3]","FK506",0.058972,0.0801640236686391,0.139136023668639,1.27064803049555
"DST1-F[1,2]_IMD3-F[3]","H2O2",0.073296,0.211016568047337,0.284312568047337,1.51285930408472
"DST1-F[1,2]_IMD3-F[3]","NaCl",0.071296,0.159923966942149,0.231219966942149,1.42857142857143
"DST1-F[1,2]_PDR5-F[3]","CuSO4",0.04962,0.17241595463138,0.22203595463138,1.42045454545455
"DST1-F[1,2]_PDR5-F[3]","DMSO",0.062648,0.0228734567901235,0.0855214567901234,1.18623962040332
"DST1-F[1,2]_PDR5-F[3]","FK506",0.064324,0,0.064324,1.13122171945701
"DST1-F[1,2]_PDR5-F[3]","H2O2",0.05362,0.125388125,0.179008125,1.34770889487871
"DST1-F[1,2]_PDR5-F[3]","NaCl",0.02562,0.641848125,0.667468125,1.953125
"DST1-F[1,2]_PRS3-F[3]","CuSO4",0.619296,0,0.619296,1.64473684210526
"DST1-F[1,2]_PRS3-F[3]","DMSO",0.634648,0.0206944444444444,0.655342444444444,1.77935943060498
"DST1-F[1,2]_PRS3-F[3]","FK506",0.704972,0.183725,0.888697,2.73224043715847
"DST1-F[1,2]_PRS3-F[3]","H2O2",0.682648,0.129815,0.812463,2.36406619385343
"DST1-F[1,2]_PRS3-F[3]","NaCl",0.707296,0.167135,0.874431,2.6525198938992
"DST1-F[1,2]_RPB9-F[3]","CuSO4",0.789296,0,0.789296,1.90839694656489
"DST1-F[1,2]_RPB9-F[3]","DMSO",0.87962,0.148432066115702,1.0280520661157,3.27868852459016
"DST1-F[1,2]_RPB9-F[3]","FK506",0.914972,0.232504285714286,1.14747628571429,4.34782608695652
"DST1-F[1,2]_RPB9-F[3]","H2O2",0.895296,0.159877685950413,1.05517368595041,3.46020761245675
"DST1-F[1,2]_RPB9-F[3]","NaCl",0.892972,0.250142829964328,1.14311482996433,4.52488687782805
"DST1-F[1,2]_SHR3-F[3]","CuSO4",0.188324,0,0.188324,1.21212121212121
"DST1-F[1,2]_SHR3-F[3]","DMSO",0.138972,0.143204938271605,0.282176938271605,1.47275405007364
"DST1-F[1,2]_SHR3-F[3]","FK506",0.17762,0.6265625,0.8041825,2.28310502283105
"DST1-F[1,2]_SHR3-F[3]","H2O2",0.156972,0.234333265306122,0.391305265306122,1.64473684210526
"DST1-F[1,2]_SHR3-F[3]","NaCl",0.160648,0.133919421487603,0.294567421487603,1.47710487444609
"DST1-F[1,2]_SNQ2-F[3]","CuSO4",0.448648,0.05085,0.499498,1.61030595813205
"DST1-F[1,2]_SNQ2-F[3]","DMSO",0.403296,0.127441875,0.530737875,1.76678445229682
"DST1-F[1,2]_SNQ2-F[3]","FK506",0.46762,0.329389090909091,0.797009090909091,2.63157894736842
"DST1-F[1,2]_SNQ2-F[3]","H2O2",0.443296,0.272165,0.715461,2.30414746543779
"DST1-F[1,2]_SNQ2-F[3]","NaCl",0.336972,0,0.336972,1.32978723404255
"FMP45-F[1,2]_DBP2-F[3]","CuSO4",0.688324,0,0.688324,1.73310225303293
"FMP45-F[1,2]_DBP2-F[3]","DMSO",0.692648,0.191802811791383,0.884450811791383,2.73224043715847
"FMP45-F[1,2]_DBP2-F[3]","FK506",0.718972,0.193434013605442,0.912406013605442,2.84900284900285
"FMP45-F[1,2]_DBP2-F[3]","H2O2",0.716648,0.0955926643598616,0.812240664359862,2.25733634311512
"FMP45-F[1,2]_DBP2-F[3]","NaCl",0.702324,0.109839012345679,0.812163012345679,2.3094688221709
"FMP45-F[1,2]_FPR1-F[3]","CuSO4",0.896324,0.150560991735537,1.04688499173554,3.41296928327645
"FMP45-F[1,2]_FPR1-F[3]","DMSO",0.860324,0,0.860324,2.03252032520325
"FMP45-F[1,2]_FPR1-F[3]","FK506",0.864648,0.00233333333333333,0.866981333333333,2.13675213675214
"FMP45-F[1,2]_FPR1-F[3]","H2O2",0.912324,0.359292244897959,1.27161624489796,6.84931506849315
"FMP45-F[1,2]_FPR1-F[3]","NaCl",0.902324,0.2754509375,1.1777749375,5.0251256281407
"FMP45-F[1,2]_ho::HphMX","CuSO4",0.806648,0.273426875,1.080074875,4
"FMP45-F[1,2]_ho::HphMX","DMSO",0.722324,0,0.722324,1.77935943060498
"FMP45-F[1,2]_ho::HphMX","FK506",0.752280555555556,0.146966913580247,0.899247469135802,2.7027027027027
"FMP45-F[1,2]_ho::HphMX","H2O2",0.830324,0.304711818181818,1.13503581818182,4.67289719626168
"FMP45-F[1,2]_ho::HphMX","NaCl",0.742324,0.016752,0.759076,1.94174757281553
"FMP45-F[1,2]_HXT1-F[3]","CuSO4",0.10962,0.295238,0.404858,1.71821305841924
"FMP45-F[1,2]_HXT1-F[3]","DMSO",0.08762,0.037922962962963,0.125542962962963,1.230012300123
"FMP45-F[1,2]_HXT1-F[3]","FK506",0.045296,0,0.045296,1.10864745011086
"FMP45-F[1,2]_HXT1-F[3]","H2O2",0.09762,0.1251478125,0.2227678125,1.3869625520111
"FMP45-F[1,2]_HXT1-F[3]","NaCl",0.940972,0.79525,1.736222,31.25
"FMP45-F[1,2]_IMD3-F[3]","CuSO4",0.400324,0.0185364197530864,0.418860419753086,1.46627565982405
"FMP45-F[1,2]_IMD3-F[3]","DMSO",0.370324,0,0.370324,1.35135135135135
"FMP45-F[1,2]_IMD3-F[3]","FK506",0.342324,0.0213679012345679,0.363691901234568,1.41442715700141
"FMP45-F[1,2]_IMD3-F[3]","H2O2",0.410648,0.211117633136095,0.621765633136095,2.03665987780041
"FMP45-F[1,2]_IMD3-F[3]","NaCl",0.424648,0.416457142857143,0.841105142857143,2.74725274725275
