"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","interactor","Fitness_Score"
"43","CuSO4","FTR1-F[1,2]_RPB9-F[3]",0.687296,0.101601799307958,0.788897799307958,2.2271714922049,0,-0.04495448968088
"44","CuSO4","FTR1-F[1,2]_SHR3-F[3]",0.51162,0.742773333333333,1.25439333333333,3.89105058365759,0,-0.0328420753006918
"45","CuSO4","FTR1-F[1,2]_SNQ2-F[3]",0.76162,0.52485,1.28647,6.06060606060606,0,0.0569969301082395
"46","CuSO4","ho::NatMX_DBP2-F[3]",0.473296,0.021683950617284,0.494979950617284,1.5625,0,NA
"47","CuSO4","ho::NatMX_FPR1-F[3]",0.746561111111111,0,0.746561111111111,1.75746924428822,0,NA
"48","CuSO4","ho::NatMX_ho::HphMX",0.488972,0.0241049382716049,0.513076938271605,1.59744408945687,0,NA
"49","CuSO4","ho::NatMX_HXT1-F[3]",0.124972,0.0734459259259259,0.198417925925926,1.31406044678055,0,NA
"50","CuSO4","ho::NatMX_IMD3-F[3]",0.076324,0,0.076324,1.10253583241455,0,NA
"51","CuSO4","ho::NatMX_PDR5-F[3]",0.732324,0.152406280991736,0.884730280991735,2.67379679144385,0,NA
"52","CuSO4","ho::NatMX_PRS3-F[3]",0.698648,0.122829112426036,0.821477112426035,2.3696682464455,0,NA
"53","CuSO4","ho::NatMX_RPB9-F[3]",0.639296,0.0226524691358025,0.661948469135802,1.79856115107914,0,NA
"54","CuSO4","ho::NatMX_SHR3-F[3]",0.462648,0,0.462648,1.39275766016713,0,NA
"55","CuSO4","ho::NatMX_SNQ2-F[3]",0.334648,0,0.334648,1.27713920817369,0,NA
"56","CuSO4","HOM3-F[1,2]_DBP2-F[3]",0.522648,0.00497777777777778,0.527625777777778,1.57232704402516,0,-0.0600180163352669
"57","CuSO4","HOM3-F[1,2]_FPR1-F[3]",0.962972,0.197192941176471,1.16016494117647,4.46428571428571,1,0.955197997948574
"58","CuSO4","HOM3-F[1,2]_ho::HphMX",0.516324,0.0106704,0.5269944,1.57728706624606,0,NA
"59","CuSO4","HOM3-F[1,2]_HXT1-F[3]",0.40562,0.315977788347206,0.721597788347206,2.37529691211401,0,-0.0702884215102619
"60","CuSO4","HOM3-F[1,2]_IMD3-F[3]",0.84362,0.194579410430839,1.03819941043084,3.47222222222222,0,-0.0525727671081749
"61","CuSO4","HOM3-F[1,2]_PDR5-F[3]",0.650324,0.0984047058823529,0.748728705882353,2.11864406779661,0,-0.02571109231154
"62","CuSO4","HOM3-F[1,2]_PRS3-F[3]",0.298648,0.121208284023669,0.419856284023669,1.6025641025641,0,-0.0128826340552706
"63","CuSO4","HOM3-F[1,2]_RPB9-F[3]",0.544648,0.0802369230769231,0.624884923076923,1.84162062615101,0,0.0144837655292386
"64","CuSO4","HOM3-F[1,2]_SHR3-F[3]",0.55962,0.16805125,0.72767125,2.22222222222222,0,-0.0334626123230723
"65","CuSO4","HOM3-F[1,2]_SNQ2-F[3]",0.288972,0,0.288972,1.22549019607843,0,-0.16390619398885
"66","CuSO4","IMD3-F[1,2]_DBP2-F[3]",0.260324,0,0.260324,1.20336943441637,0,-0.066477539035305
"67","CuSO4","IMD3-F[1,2]_FPR1-F[3]",0.876648,0.210717633136095,1.08736563313609,3.83141762452107,0,-0.0777716024578576
"68","CuSO4","IMD3-F[1,2]_ho::HphMX",0.032648,0.202461038062284,0.235109038062284,1.45985401459854,0,NA
"69","CuSO4","IMD3-F[1,2]_HXT1-F[3]",0.47762,0.76779625,1.24541625,3.71747211895911,0,-0.0738922888749962
"70","CuSO4","IMD3-F[1,2]_IMD3-F[3]",0.99762,0.088834,1.086454,3.20512820512821,1,1.05389963528372
"71","CuSO4","IMD3-F[1,2]_IMD3-F[3]",0.99762,0.088834,1.086454,3.20512820512821,1,1.05389963528372
"72","CuSO4","IMD3-F[1,2]_PDR5-F[3]",0.014972,0.2735375,0.2885095,1.55038759689922,0,-0.194933167729828
"73","CuSO4","IMD3-F[1,2]_PRS3-F[3]",0.356324,0.165135,0.521459,1.80505415162455,0,-0.145340557627715
"74","CuSO4","IMD3-F[1,2]_RPB9-F[3]",0.586972,0.146245432098765,0.733217432098765,2.20264317180617,0,-0.122252941542715
"75","CuSO4","IMD3-F[1,2]_SHR3-F[3]",0.85562,0.0975444982698962,0.953164498269896,2.68096514745308,0,-0.0349554130564383
"76","CuSO4","IMD3-F[1,2]_SNQ2-F[3]",0.318324,0.089642,0.407966,1.53846153846154,0,-0.126350007492956
"77","CuSO4","PRS3-F[1,2]_DBP2-F[3]",0.608648,0.0709688888888889,0.679616888888889,1.91938579654511,0,0.00297103545389195
"78","CuSO4","PRS3-F[1,2]_FPR1-F[3]",0.823296,0.121112426035503,0.944408426035503,2.75482093663912,0,0.0798943063276098
"79","CuSO4","PRS3-F[1,2]_ho::HphMX",0.144972,0,0.144972,1.10987791342952,0,NA
"80","CuSO4","PRS3-F[1,2]_HXT1-F[3]",0.515296,0.644124375,1.159420375,3.7593984962406,0,0.0512219678646918
"81","CuSO4","PRS3-F[1,2]_IMD3-F[3]",0.321296,0.1235478125,0.4448438125,1.63934426229508,0,-0.0123598798451629
"82","CuSO4","PRS3-F[1,2]_PDR5-F[3]",0.15162,0,0.15162,1.10987791342952,0,0.0875556893067857
"83","CuSO4","PRS3-F[1,2]_PRS3-F[3]",0.968324,0,0.968324,2.02839756592292,1,0.89383551962492
"84","CuSO4","PRS3-F[1,2]_PRS3-F[3]",0.968324,0,0.968324,2.02839756592292,1,0.89383551962492
"85","CuSO4","PRS3-F[1,2]_RPB9-F[3]",0.629296,0,0.629296,1.50602409638554,0,0.00124782107432235
"86","CuSO4","PRS3-F[1,2]_SHR3-F[3]",0.34762,0,0.34762,1.24069478908189,0,0.0694924222190224
"87","CuSO4","PRS3-F[1,2]_SNQ2-F[3]",0.27962,0.018641975308642,0.298261975308642,1.34770889487871,0,-0.0573399212323439
"88","CuSO4","SHR3-F[1,2]_DBP2-F[3]",0.590648,0.0921806228373702,0.68282862283737,1.96463654223969,0,-0.0191276361124064
"89","CuSO4","SHR3-F[1,2]_FPR1-F[3]",0.904648,0.133747520661157,1.03839552066116,3.25732899022801,0,-0.00663396053002064
"90","CuSO4","SHR3-F[1,2]_ho::HphMX",0.550324,0,0.550324,1.41242937853107,0,NA
