"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","DEEPN_score","interactor"
"1","di4spUb","0610007P14Rik",0,0.130864431471891,0.130864431471891,2.38381638465405,0.068,0
"2","di4spUb","0610009B22Rik",0,0.131193086850432,0.131193086850432,2.38691549591109,0.082,0
"3","di4spUb","0610010B08Rik",0.964310996158614,0.664986983072648,1.62929797923126,685.734939759036,0.888,0
"4","di4spUb","0610010F05Rik",0,0.150671893981107,0.150671893981107,2.63927660561094,0.007,0
"5","di4spUb","0610030E20Rik",0,0.184843836715306,0.184843836715306,3.19429790099899,0,NA
"6","di4spUb","1110008F13Rik",0,0.148765067263462,0.148765067263462,2.61298319713525,0.007,0
"7","di4spUb","1110008L16Rik",0,0.150894927396177,0.150894927396177,2.64050104384134,0.006,0
"8","di4spUb","1110012L19Rik",0,0.132601609901319,0.132601609901319,2.39979761352616,0.006,0
"9","di4spUb","1110017D15Rik",0,0.17618032083293,0.17618032083293,3.02905800957956,0,NA
"10","di4spUb","1110034G24Rik",0,0.00840875123513075,0.00840875123513075,1.91533180778032,0.012,0
"11","di4spUb","1110037F02Rik",0,0.00839695989804335,0.00839695989804335,1.91507402422611,0.006,0
"12","di4spUb","1110057K04Rik",0,0.14480672955599,0.14480672955599,2.55940282399496,0.053,0
"13","di4spUb","1110058L19Rik",0,0.163065186631895,0.163065186631895,2.81219427837344,0.009,0
"14","di4spUb","1110059G10Rik",0,0.176279782122544,0.176279782122544,3.02728578267113,0,NA
"15","di4spUb","1200014J11Rik",0,0.147341358549427,0.147341358549427,2.59038776624795,0.196,0
"16","di4spUb","1700001F09Rik",0,0.174668522710876,0.174668522710876,2.99668298846944,0,NA
"17","di4spUb","1700001J03Rik",0,0.155838948171109,0.155838948171109,2.70307750759878,0.011,0
"18","di4spUb","1700001O22Rik",0,0.183347669590654,0.183347669590654,3.15324099722992,0,NA
"19","di4spUb","1700001P01Rik",0,0.180286936354296,0.180286936354296,3.09612141652614,0,NA
"20","di4spUb","1700003M02Rik",0,0.156595737414746,0.156595737414746,2.71209377680358,0.008,0
"21","di4spUb","1700006A11Rik",0,0.176056979793856,0.176056979793856,3.01861575178998,0,NA
"22","di4spUb","1700006E09Rik",0,0.150912453489053,0.150912453489053,2.63353692393115,0.011,0
"23","di4spUb","1700007B14Rik",0,0.143592300065988,0.143592300065988,2.5389659633314,0.008,0
"24","di4spUb","1700007G11Rik",0,0.144613156890132,0.144613156890132,2.55137170521786,0.072,0
"25","di4spUb","1700007K09Rik",0,0.132648560669682,0.132648560669682,2.39343986543314,0.089,0
"26","di4spUb","1700009N14Rik",0,0.134092296796841,0.134092296796841,2.40751237257307,0.052,0
"27","di4spUb","1700010B08Rik",0,0.144689415254443,0.144689415254443,2.55034278800914,0.008,0
"28","di4spUb","1700010I14Rik",0,0.134912227419853,0.134912227419853,2.41578947368421,0.05,0
"29","di4spUb","1700011E24Rik",0,0.152831000788038,0.152831000788038,2.65553119022069,0.085,0
"30","di4spUb","1700011H14Rik",0,0.00427088892836305,0.00427088892836305,1.88282774818883,0.02,0
"31","di4spUb","1700011I03Rik",0,0.156020808569432,0.156020808569432,2.69897572078907,0.061,0
"32","di4spUb","1700011L22Rik",0,0.144313868454912,0.144313868454912,2.54384553499598,0.007,0
"33","di4spUb","1700012A03Rik",0,0.132237741446506,0.132237741446506,2.38601492412174,0.093,0
"34","di4spUb","1700012B07Rik",0,0.142060953805193,0.142060953805193,2.5162916132455,0.085,0
"35","di4spUb","1700012P22Rik",0,0.135527858482557,0.135527858482557,2.42041250265788,0.024,0
"36","di4spUb","1700013F07Rik",0,0.178831698999491,0.178831698999491,3.06032906764168,0,NA
