"prey","bait","Enrichment_score","Specificity_score","Sum_scores","Borda_scores"
"0610007P14Rik","di4spUb",0,0.130864431471891,0.130864431471891,2.38381638465405
"0610007P14Rik","Rab5GDP",0,0.0274603640614012,0.0274603640614012,2.01052668762584
"0610007P14Rik","Rab5GTP",0,0.227579048410579,0.227579048410579,3.65901639344262
"0610009B22Rik","di4spUb",0,0.131193086850432,0.131193086850432,2.38691549591109
"0610009B22Rik","Rab5GDP",0,0.0261749962915348,0.0261749962915348,2.00443740095087
"0610009B22Rik","Rab5GTP",0,0.228824759772417,0.228824759772417,3.67034242600116
"0610010B08Rik","di4spUb",0.964310996158614,0.664986983072648,1.62929797923126,685.734939759036
"0610010B08Rik","diUb1",0.977641037446286,0.49979483034702,1.47743586779331,21.9752895752896
"0610010B08Rik","EMPTY",0.437598357888275,0.326640051339775,0.76423840922805,5.94112734864301
"0610010B08Rik","Rab5GDP",0.938820518723143,0,0.938820518723143,1.99341552255534
"0610010F05Rik","di4spUb",0,0.150671893981107,0.150671893981107,2.63927660561094
"0610010F05Rik","Rab5GDP",0,0.203772954778288,0.203772954778288,3.48856880171621
"0610010F05Rik","Rab5GTP",0,0.286346105227693,0.286346105227693,4.4755838641189
"0610030E20Rik","di4spUb",0,0.184843836715306,0.184843836715306,3.19429790099899
"0610030E20Rik","Rab5GDP",0,0.420134105812621,0.420134105812621,9.29848064041823
"0610030E20Rik","Rab5GTP",0,0.367802755360182,0.367802755360182,7.15294709061204
"0610037L13Rik","EMPTY",0.890031433556266,0.658284576324248,1.54831600988051,162.153846153846
"0610037L13Rik","Rab5GDP",0,0.212211951768695,0.212211951768695,3.53801205942687
"0610037L13Rik","Rab5GTP",0,0.0601135187015861,0.0601135187015861,2.14663951120163
"1110004F10Rik","EMPTY",0,0.0130225105669608,0.0130225105669608,1.93624766116687
"1110004F10Rik","Rab5GDP",0,0.474065483368678,0.474065483368678,11.6535626535627
"1110004F10Rik","Rab5GTP",0,0.0312456589345592,0.0312456589345592,2.02641791576174
"1110008F13Rik","di4spUb",0,0.148765067263462,0.148765067263462,2.61298319713525
"1110008F13Rik","Rab5GDP",0,0.18038339101194,0.18038339101194,3.10592087312415
"1110008F13Rik","Rab5GTP",0,0.281004127929514,0.281004127929514,4.37714373606091
"1110008L16Rik","di4spUb",0,0.150894927396177,0.150894927396177,2.64050104384134
"1110008L16Rik","Rab5GDP",0,0.189599058822462,0.189599058822462,3.28405746927471
"1110008L16Rik","Rab5GTP",0,0.287215177358228,0.287215177358228,4.48864353312303
"1110012L19Rik","di4spUb",0,0.132601609901319,0.132601609901319,2.39979761352616
"1110012L19Rik","Rab5GDP",0,0.0405615148530898,0.0405615148530898,2.06561660738913
"1110012L19Rik","Rab5GTP",0,0.233398782036221,0.233398782036221,3.71296235892752
