"","bait","prey","interactor"
"190","EXOSC1","BNIP3L",0
"191","EXOSC1","CDKN2D",0
"192","EXOSC1","DMRTB1",1
"193","EXOSC1","EXOSC1",0
"194","EXOSC1","EXOSC5",1
"195","EXOSC1","FHL3",1
"196","EXOSC1","LSM3",1
"197","EXOSC1","RBPMS",1
"198","EXOSC1","SH3GLB1",1
"199","EXOSC1","SH3GLB2",1
"200","EXOSC1","TEX11",1
"201","EXOSC5","BNIP3L",0
"202","EXOSC5","DMRTB1",1
"203","EXOSC5","EXOSC1",1
"204","EXOSC5","FHL3",1
"205","EXOSC5","LSM3",1
"206","EXOSC5","NMI",1
"207","EXOSC5","SH3GLB1",1
"208","EXOSC5","SH3GLB2",1
"209","EXOSC5","TEX11",1
"210","FHL3","CCND3",1
"211","FHL3","CDKN1A",1
"212","FHL3","CDKN2D",1
"213","FHL3","CNOT7",1
"214","FHL3","EIF4EBP2",1
"215","FHL3","EXOSC1",1
"216","FHL3","EXOSC5",1
"217","FHL3","FHL3",1
"218","FHL3","KLF3",1
"219","FHL3","MORF4L1",1
"220","FHL3","MTA1",1
"221","FHL3","PIAS1",1
"222","FHL3","QKI",1
"223","FHL3","RYBP",1
"224","FHL3","SH3GLB2",1
"225","FHL3","SUPT5H",1
"226","FHL3","TOPBP1",1
"227","FHL3","UBE2I",1
"228","GAA","CCL14",0
"229","GAA","GAA",0
"230","GAA","IKZF1",0
"231","GAA","PIAS1",0
"232","GAA","RBPMS",0
"233","GAA","SH3GLB2",1
"234","IGF2","CTBP1",0
"235","IGF2","RBPMS",1
"236","IKZF1","BCL2L2",0
"237","IKZF1","BNIP3",0
"238","IKZF1","BTG1",1
"239","IKZF1","CCND2",0
"240","IKZF1","CDK4",0
"241","IKZF1","CTBP1",1
"242","IKZF1","EIF4EBP2",0
"243","IKZF1","GAA",0
"244","IKZF1","IKZF1",1
"245","IKZF1","IKZF5",1
"246","IKZF1","MME",0
"247","IKZF1","MORF4L1",1
"248","IKZF1","MTA1",1
"249","IKZF1","RBBP4",1
"250","IKZF1","RBBP8",1
"251","IKZF1","REEP2",0
"252","IKZF1","STX4",0
"253","IKZF1","TOPBP1",0
"254","IKZF1","UBE2I",1
"255","IKZF5","BIK",0
"256","IKZF5","IKZF1",1
"257","IKZF5","IKZF5",1
"258","IKZF5","PIAS1",1
"259","IKZF5","UBE2I",1
"260","KLF3","CDKN2D",1
"261","KLF3","CTBP1",1
"262","KLF3","FHL3",1
"263","KLF3","KLF3",0
"264","KLF3","LSM3",1
"265","KLF3","PIAS1",1
"266","KLF3","RBPMS",0
"267","KLF3","UBE2I",1
"268","lam","largeT",0
"269","lam","p53",0
"270","largeT","lam",0
"271","largeT","largeT",1
"272","largeT","p53",1
"273","LSM2","CDKN2D",0
"274","LSM2","LSM3",1
"275","LSM2","MRFAP1L1",0
"276","LSM2","TEX11",1
"277","LSM3","BRMS1",0
"278","LSM3","CCND3",1
"279","LSM3","CDKN2D",1
"280","LSM3","CNOT7",1
"281","LSM3","EIF4EBP2",1
"282","LSM3","EXOSC1",1
"283","LSM3","EXOSC5",1
"284","LSM3","KLF3",1
"285","LSM3","LSM2",1
"286","LSM3","LSM3",1
"287","LSM3","NMI",0
"288","LSM3","PIAS1",1
"289","LSM3","QKI",1
"290","LSM3","SH3GLB2",1
"291","LSM3","TSG101",1
"292","LSM3","VAMP3",0
"293","MME","EIF4EBP2",0
"294","MME","IKZF1",0
"295","MME","MME",1
"296","MME","PCNA",1
"297","MME","S100B",0
"298","MME","TSG101",0
"299","MORF4L1","CTBP1",0
"300","MORF4L1","FHL3",1
"301","MORF4L1","IKZF1",1
"302","MORF4L1","MORF4L1",1
"303","MORF4L1","MRFAP1",1
"304","MORF4L1","MRFAP1L1",1
"305","MORF4L1","NMI",1
"306","MORF4L1","PSMC1",1
"307","MORF4L1","SH3GLB1",0
"308","MORF4L1","SH3GLB2",1
"309","MORF4L1","TEX11",1
"310","MRFAP1","CDKN2D",0
"311","MRFAP1","MORF4L1",1
"312","MRFAP1","MRFAP1L1",1
"313","MRFAP1","TEX11",1
"314","MRFAP1L1","CDKN2D",1
"315","MRFAP1L1","CNOT7",1
"316","MRFAP1L1","LSM2",0
"317","MRFAP1L1","MORF4L1",1
"318","MRFAP1L1","MRFAP1",1
"319","MRFAP1L1","MRFAP1L1",1
