"prey","bait","Enrichment_score","Specificity_score","Sum_scores","Borda_scores"
"ABI1","AFF4",0.890067791994509,0.324791365200119,1.21485915719463,6.22125656346189
"ABI1","BCL2L2",0.83015789196683,0.336242561391293,1.16640045335812,5.82866836301951
"ABI1","BCL6",0.9948278611132,0.889431444879985,1.88425930599319,419.024390243902
"ABI1","BNIP3",0.719475906140891,0.159982589966215,0.879458496107106,2.70210758100031
"ABI1","CCND1",0.738896640858328,0.149529844920462,0.88842648577879,2.75386711549251
"ABI1","CDC20",0.239610365899066,0,0.239610365899066,1.29211793020457
"ABI1","CDC25A",0.382830178252902,0.00517286020300712,0.388003038455909,1.45254703022617
"ABI1","CDK4",0.487055190373334,0.215820002939922,0.702875193313256,2.28533422015298
"ABI1","CDK6",0.309539045398275,0.0291737352290981,0.338712780627373,1.55693506728896
"ABI1","CDKN1A",0.662597722419896,0.252932759517097,0.915530481936993,2.98212115952092
"ABI1","CDT1",0.926182128727243,0.377500128327251,1.30368225705449,9.85091743119266
"ABI1","CREB3L2",0.0857127818008177,0,0.0857127818008177,1.18954474640817
"ABI1","CSNK1D",0.469485756887815,0.131275783497163,0.600761540384977,2.05958161002218
"ABI1","CTBP1",0.907412438303059,0.305923181372023,1.21333561967508,5.37210756722952
"ABI1","DES",0.68248398130914,0.275620747451424,0.958104728760564,3.23510027304397
"ABI1","EXOSC1",0.849377082465353,0.224446509432499,1.07382359189785,3.66702241195304
"ABI1","FANCG",0.9900896240499,0.671457674351577,1.66154729840148,124.945454545455
"ABI1","FOXM1",0.0346106211227505,0,0.0346106211227505,1.158970553513
"ABI1","IKZF5",0.433107892796132,0.0950817287137889,0.528189621509921,1.9296866224868
"ABI1","LSM2",0.01379048230519,0.0151321401163365,0.0289226224215264,1.25929998167491
"ABI1","MAD1L1",0.98556158985406,0.850396691316276,1.83595828117034,139.674796747967
"ABI1","MEF2A",0.36654471025585,0.073637678309665,0.440182388565515,1.7377231578415
"ABI1","MORF4L1",0.166632531151619,0,0.166632531151619,1.24123979481251
"ABI1","MRFAP1",0.795662319455636,0.300535954007895,1.09619827346353,4.13477737665463
"ABI1","NCOA4",0.58495118289045,0.336291759929259,0.921242942819708,3.60016764459346
"ABI1","NEK6",0,0.0120046432087924,0.0120046432087924,1.22138489975828
"ABI1","NR5A1",0,0.0344067381177752,0.0344067381177752,1.31713113811477
"ABI1","PATZ1",0.222198505881677,0,0.222198505881677,1.27941614536789
"ABI1","PCM1",0.996033869006476,0.854808990429176,1.85084285943565,404.235294117647
"ABI1","PDE4DIP",0.962417475397977,0.320198116950841,1.28261559234882,7.18527812630698
"ABI1","PICALM",0.100858401008584,0,0.100858401008584,1.19871615964276
"ABI1","PIK3CB",0.623312822380995,0.224564828958391,0.847877651339387,2.69807616804083
"ABI1","PLK4",0.0690420291855433,0,0.0690420291855433,1.17921614386712
"ABI1","PPARG",0,0.0859308049188527,0.0859308049188527,1.4031362299902
"ABI1","PRPF31",0,0.28429937800495,0.28429937800495,1.66279519938057
"ABI1","PSMD5",0.54499171433853,0.14937106145404,0.69436277579257,2.23625122030589
"ABI1","RBL2",0.944768214736025,0.344158325636058,1.28892654037208,8.93163504029114
"ABI1","S100A1",0.50699863405155,0.251520346288937,0.758518980340487,2.47711051834763
"ABI1","S100P",0.869060366266167,0.243104305044299,1.11216467131047,4.0055957099557
"ABI1","SH3GLB1",0.565072508443849,0.113427655012307,0.678500163456157,2.22495629087613
"ABI1","SMAD3",0,0.272724108702032,0.272724108702032,1.64843600076761
"ABI1","SMAD4",0,0.00138714926893519,0.00138714926893519,1.15093454813425
"ABI1","SS18L1",0.643615521633092,0.121626598319876,0.765242119952967,2.41207441207441
"ABI1","SUPT4H1",0.204083221909452,0.0705163382002427,0.274599560109694,1.53736017897092
"ABI1","SUPT5H",0.148651460445179,0,0.148651460445179,1.2291621950347
"ABI1","TACC3",0.273803489486973,0,0.273803489486973,1.31692920930589
"ABI1","TCF7L2",0.290508046397727,0,0.290508046397727,1.32956700073521
"ABI1","TCL1A",0.257015503426747,0.0148410127066431,0.27185651613339,1.44649322219416
"ABI1","TFEB",0.979747870150221,0.660286063964167,1.64003393411439,77.5620767494357
"ABI1","TFG",0.526084199162364,0.106195307167961,0.632279506330325,2.11355108568617
"ABI1","TFPT",0.777260484211657,0.313755540918146,1.0910160251298,4.34386852085967
"ABI1","TRIM27",0.812411680538395,0.312428839810841,1.12484052034924,4.6058981233244
"ABI1","TSG101",0.451836496225863,0.0125697596817285,0.464406255907592,1.61610460467523
"ABI1","TUBA1C",0.400307630896231,0.00206091677042481,0.402368547666655,1.44771214291733
"ABI1","UBE2K",0.328803141651512,0.0677730742014584,0.396576215852971,1.67462715664295
"ABI1","UCHL5",0.758206016416271,0.294241930253458,1.05244794666973,3.75396045012564
"ABI1","ZBTB16",0.416116744866652,0,0.416116744866652,1.43321932093101
"ACSL3","AFF4",0,0.318496165847219,0.318496165847219,1.78688439336419
"ACSL3","BCL2L2",0.835495656661992,0.246780145519854,1.08227580218185,3.80762411347518
"ACSL3","BCL6",0.136257530553019,0,0.136257530553019,1.22095089190534
"ACSL3","BNIP3",0.725073237863013,0.237613044414918,0.962686282277931,3.16041206769684
"ACSL3","CCND1",0.744146029700063,0.237390620642916,0.981536650342978,3.24242710201
"ACSL3","CDC20",0.243833340000933,0.0110888768413066,0.254922216842239,1.39041761087731
"ACSL3","CDC25A",0.387469290570838,0.00893577454731339,0.396405065118151,1.49125471984723
"ACSL3","CDK4",0.492800875143629,0.143686249063487,0.636487124207116,2.12439718066032
