"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","interactor","Interaction_Score"
"1","AFF4","ABI1",0.890067791994509,0.324791365200119,1.21485915719463,6.22125656346189,NA,0
"2","AFF4","ACSL3",0,0.318496165847219,0.318496165847219,1.78688439336419,NA,0
"3","AFF4","ADD1",0.879861867794789,0.402707506612563,1.28256937440735,11.2914886625041,NA,0
"4","AFF4","ADRM1",0.879261558614021,0.402221012433066,1.28148257104709,11.1994784876141,NA,0
"5","AFF4","AFF4",0.893136038918435,0.412857698102462,1.3059937370209,13.624107850912,NA,0
"6","AFF4","AKAP9",0.893736348099203,0.253013773438418,1.14675012153762,4.2535281010151,NA,0
"7","AFF4","AKT1",0.888933874653058,0.324102754506605,1.21303662915966,6.15329512893983,NA,0
"8","AFF4","AKT2",0,0.319552045478766,0.319552045478766,1.78902426325107,NA,0
"9","AFF4","ALDH2",0.00154802254727673,0.414261866983027,0.415809889530304,2.18131030980193,NA,0
"10","AFF4","AP2B1",0.879728465754618,0.402597326938006,1.28232579269262,11.2655737704918,NA,0
"11","AFF4","APP",0.890801503215448,0.411132414244533,1.30193391745998,13.0795584316711,NA,0
"12","AFF4","ARHGAP26",0.890134493014594,0.330474472674088,1.22060896568868,6.59121427201228,NA,0
"13","AFF4","ARL2BP",0.883597124919569,0.405690769303644,1.28928789422321,11.8605453917846,NA,0
"14","AFF4","ARNT",0.877417622866982,0.40076145253857,1.27817907540555,10.9601275917065,NA,0
"15","AFF4","ATIC",0.886331866743069,0.312046682929936,1.198378549673,5.37967746986065,NA,0
"16","AFF4","BAP1",0.889934389954338,0.410482619843956,1.30041700979829,12.8785607196402,NA,0
"17","AFF4","BARD1",0.883863928999911,0.310358370433534,1.19422229943344,5.27641277641278,NA,0
"18","AFF4","BCL3",0.88946748281374,0.314043981973026,1.20351146478677,5.52234008357441,NA,0
"19","AFF4","BCL6",0.887732588164861,0.408821106724089,1.29655369488895,12.476397966594,NA,0
"20","AFF4","BCOR",0.880528877995643,0.308063566295972,1.18859244429161,5.14140356127488,NA,0
"21","AFF4","BIK",0.880195372895216,0.402973711480697,1.28316908437591,11.3361926756846,NA,0
"22","AFF4","BIRC3",0.885197949401618,0.406920844584978,1.2921187939866,12.0943329813446,NA,0
"23","AFF4","BIRC5",0.887265681024264,0.312611654240589,1.19987733526485,5.42383583267561,NA,0
"24","AFF4","BLM",0.88759918612469,0.40872932737758,1.29632851350227,12.4583031182016,NA,0
"25","AFF4","BNIP3L",0.00175081142152242,0.317821578619498,0.319572390041021,1.78688439336419,NA,0
"26","AFF4","BRCA1",0.888266196325544,0.409243352011398,1.29750954833694,12.5722649103549,NA,0
"27","AFF4","BRD3",0.889534183833826,0.410170563366563,1.29970474720039,12.7922561429635,NA,0
"28","AFF4","BUB1B",0.89493696646074,0.317597136565795,1.21253410302653,5.78451178451178,NA,0
"29","AFF4","C15orf55",0.891935420556899,0.315669053267519,1.20760447382442,5.64203612479475,NA,0
"30","AFF4","C2orf44",0,0.329361600231733,0.329361600231733,1.83488198227064,NA,0
"31","AFF4","C7orf11",0.890267895054765,0.347349618737481,1.23761751379225,7.73177317731773,NA,0
"32","AFF4","CANT1",0.881462692276838,0.308742874312228,1.19020556658907,5.1832855634334,NA,0
"33","AFF4","CARS",0.885931660622556,0.407471612017619,1.29340327264018,12.1973730919418,NA,0
"34","AFF4","CASP8",0.891401812396216,0.315274268049098,1.20667608044531,5.6125449199608,NA,0
"35","AFF4","CBLB",0.887865990205032,0.408922080144383,1.29678807034941,12.4990905783921,NA,0
"36","AFF4","CCDC6",0.8781179679077,0.401329949926407,1.27944791783411,11.0446801671488,NA,0
"37","AFF4","CCNA1",0.00134523367303103,0.414629105487378,0.415974339160409,2.18338946431976,NA,0
"38","AFF4","CCNA2",0.877417622866982,0.40076145253857,1.27817907540555,10.9531399426203,NA,0
"39","AFF4","CCNC",0.880262073915301,0.403028752596061,1.28329082651136,11.3474240422721,NA,0
"40","AFF4","CCND1",0.879394960654192,0.402331143385709,1.2817261040399,11.2177603656546,NA,0
"41","AFF4","CCND3",0.878518165073824,0.401651847717496,1.28017001279132,11.116143642834,NA,0
"42","AFF4","CCNDBP1",0.881395991256752,0.403955845191561,1.28535183644831,11.5108877721943,NA,0
"43","AFF4","CCNE1",0.879661764734533,0.402542269074483,1.28220403380902,11.2581913499345,NA,0
"44","AFF4","CCNE2",0,0.41600541225083,0.41600541225083,2.14897742197761,NA,0
"45","AFF4","CCNG1",0,0.351526701752922,0.351526701752922,1.92557722483748,NA,0
"46","AFF4","CCNG2",0,0.415317240255151,0.415317240255151,2.14187757137514,NA,0
"47","AFF4","CCNH",0.886665371843495,0.345127638217621,1.23179301006112,7.39083673908367,NA,0
"48","AFF4","CCNI",0,0.415546387387832,0.415546387387832,2.14107676969093,NA,0
"49","AFF4","CCNI2",0.883530423899484,0.310129066442342,1.19365949034183,5.26106262440668,NA,0
"50","AFF4","CCNJ",0.892335626677411,0.315926136755426,1.20826176343284,5.65969362543238,NA,0
"51","AFF4","CCNJL",0.894870265440654,0.414032654701512,1.30890292014217,14.00162999185,NA,0
"52","AFF4","CCNK",0.880328774935387,0.403083811982143,1.28341258691753,11.3549239920687,NA,0
"53","AFF4","CCNL1",0.888399598365715,0.313410450384229,1.20181004874994,5.47569721115538,NA,0
"54","AFF4","CCNL2",0.885998361642642,0.311789742005775,1.19778810364842,5.36372151108336,NA,0
"55","AFF4","CCNT2",0.884197434100337,0.406177293934337,1.29037472803467,11.9471488178025,NA,0
